IP Origen,IP Destino,MAC Origen,MAC Destino,Puerto Ori,Puerto Des,Protocolo,Longitud,Hora Captura,Dispositivo Local,Sitio/App Destino,Hostname Remoto,SSID
10.20.53.78,224.0.0.252,d4:d8:53:5d:25:cd,01:00:5e:00:00:fc,137,137,UDP,92,2026-03-04 21:13:05,DESKTOP-G6APLIR,,,N/A
10.20.53.78,224.0.0.252,d4:d8:53:5d:25:cd,01:00:5e:00:00:fc,63753,5355,UDP,84,2026-03-04 21:13:05,DESKTOP-G6APLIR,,,N/A
10.20.53.33,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,53,50630,TCP,55,2026-03-04 21:13:06,10.20.53.33,,,N/A
10.20.53.33,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,53,59504,TCP,55,2026-03-04 21:13:06,10.20.53.33,,,N/A
10.20.53.78,10.20.53.33,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,50630,53,TCP,54,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.78,10.20.53.33,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,59504,53,TCP,54,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.33,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,53,59504,TCP,278,2026-03-04 21:13:06,10.20.53.33,,,N/A
10.20.53.33,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,53,50630,TCP,223,2026-03-04 21:13:06,10.20.53.33,,,N/A
10.20.53.78,10.20.53.33,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,50630,53,TCP,54,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.78,10.20.53.33,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,59504,53,TCP,54,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.78,20.189.173.1,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,54050,443,TCP,66,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.33,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,53,50630,TCP,54,2026-03-04 21:13:06,10.20.53.33,,,N/A
10.20.53.78,10.20.53.33,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,50630,53,TCP,54,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.33,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,53,59504,TCP,54,2026-03-04 21:13:06,10.20.53.33,,,N/A
10.20.53.78,10.20.53.33,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,59504,53,TCP,54,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.78,10.20.53.33,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,61518,53,UDP,85,2026-03-04 21:13:06,DESKTOP-G6APLIR,1.173.189.20.in-addr.arpa,,N/A
10.20.53.78,142.250.115.188,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,54705,5228,TCP,55,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
20.189.173.1,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,54050,TCP,66,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.78,20.189.173.1,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,54050,443,TCP,54,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.78,20.189.173.1,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,54050,443,TCP,1891,2026-03-04 21:13:06,DESKTOP-G6APLIR,teams.events.data.microsoft.com,,N/A
142.250.115.188,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,5228,54705,TCP,66,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.78,10.20.53.33,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,61518,53,UDP,85,2026-03-04 21:13:06,DESKTOP-G6APLIR,1.173.189.20.in-addr.arpa,,N/A
10.20.53.33,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,53,61518,UDP,171,2026-03-04 21:13:06,10.20.53.33,,,N/A
